word	[etymology]
mental	['Middle French', 'Late Latin', 'Latin', 'PIE']
escape	['Late Latin', 'Latin', 'Old North French', 'Vulgar Latin', 'Old French']
other	['Old English', 'Proto-Germanic']
couples	['Old French', 'Latin', 'PIE']
around	['Old French', 'Latin', 'Old English', 'Middle English']
fan	['Latin', 'PIE']
drama	['Late Latin', 'Greek', 'PIE']
about	['Old French', 'Latin', 'Old English', 'Middle English']
albert	['Proto-Germanic', 'PIE', 'German', 'Old High German Adalbert', 'Old High German']
psychotic	['Greek']
prisoner	['Old French']
devoted	['Latin']
john	['Proto-Germanic']
beatles	['French B', 'Latin', 'PIE', 'Middle French', 'Old English', 'Proto-Germanic']
then	['Proto-Germanic', 'PIE']
something	['Old English', 'Proto-Germanic']
incredible	['Old English', 'Latin', 'PIE', 'PIE']
fell	['Old English', 'Proto-Germanic']
love	['Old English', 'Proto-Germanic', 'PIE']
deathbed	['Old English']
accidentally	['Old French', 'Latin', 'PIE', 'Medieval Latin']
question	['Anglo-French', 'Latin', 'Middle French']
did	['Old English', 'Proto-Germanic', 'PIE', 'Middle English', 'West Germanic']
i	['Proto-Germanic', 'PIE']
ever	['Old English', 'Proto-Germanic']
do	['Old English', 'Proto-Germanic', 'PIE', 'Middle English', 'West Germanic']
deserve	['Old French', 'Latin', 'Etruscan']
shot	['Old English', 'Proto-Germanic', 'PIE']
look	['Old English', 'West Germanic']
how	['Old English', 'Proto-Germanic', 'PIE', 'Native American']
fictional	['Medieval Latin']
basically	['Old French', 'Late Latin', 'Oscan', 'Latin', 'Greek', 'PIE']
making	['Old English', 'Proto-Germanic', 'PIE', 'West Germanic']
before	['Old English', 'Proto-Germanic', 'PIE']
investigation	['French', 'Latin', 'Old French']
ends	['Old English', 'Proto-Germanic', 'PIE']
we	['Old English', 'Proto-Germanic', 'PIE']
met	['Old English', 'Proto-Germanic', 'PIE']
boyfriends	['Old English', 'Proto-Germanic', 'PIE']
drug	['Old French', 'Middle Dutch']
nurses	['Old French', 'Latin', 'PIE', 'Late Latin']
doctors	['Old French', 'Medieval Latin', 'PIE']
exactly	['Latin']
good	['Old English', 'Proto-Germanic', 'PIE']
evil	['Old English', 'Proto-Germanic', 'PIE']
based	['Old French', 'Late Latin', 'Oscan', 'Latin', 'Greek', 'PIE']
affair	['Anglo-French', 'Latin']
singing	['Old English', 'Proto-Germanic', 'PIE']
sensation	['Old French', 'Latin', 'PIE', 'French', 'Medieval Latin', 'Late Latin']
kelly	['Old Irish']
discovered	['Old French', 'Late Latin', 'Latin', 'PIE']
near	['Old English', 'Proto-Germanic', 'Middle English']
demise	['Latin', 'Middle French']
hands	['Middle English', 'Old English']
